"location","forecast_date","target_end_date","target","type","quantile","values"
"Alabama","2023-04-30","2023-8-31","August WNV neuroinvasive disease cases","quantile",0.4,3
"Alabama","2023-04-30","2023-8-31","August WNV neuroinvasive disease cases","quantile",0.45,3
"Alabama","2023-04-30","2023-8-31","August WNV neuroinvasive disease cases","quantile",0.5,4
"Alabama","2023-04-30","2023-8-31","August WNV neuroinvasive disease cases","quantile",0.55,4
"Alabama","2023-04-30","2023-8-31","August WNV neuroinvasive disease cases","quantile",0.6,5
"Alabama","2023-04-30","2023-8-31","August WNV neuroinvasive disease cases","quantile",0.65,6
"Alabama","2023-04-30","2023-8-31","August WNV neuroinvasive disease cases","quantile",0.7,7
"Alabama","2023-04-30","2023-8-31","August WNV neuroinvasive disease cases","quantile",0.75,8
"Alabama","2023-04-30","2023-8-31","August WNV neuroinvasive disease cases","quantile",0.8,9
"Alabama","2023-04-30","2023-8-31","August WNV neuroinvasive disease cases","quantile",0.85,11
"Alabama","2023-04-30","2023-8-31","August WNV neuroinvasive disease cases","quantile",0.9,13
"Alabama","2023-04-30","2023-8-31","August WNV neuroinvasive disease cases","quantile",0.95,17
"Alabama","2023-04-30","2023-8-31","August WNV neuroinvasive disease cases","quantile",0.975,22
"Alabama","2023-04-30","2023-8-31","August WNV neuroinvasive disease cases","quantile",0.99,28
"Alabama","2023-04-30","2023-9-30","September WNV neuroinvasive disease cases","quantile",0.01,0
"Alabama","2023-04-30","2023-9-30","September WNV neuroinvasive disease cases","quantile",0.025,0
"Alabama","2023-04-30","2023-9-30","September WNV neuroinvasive disease cases","quantile",0.05,0
"Alabama","2023-04-30","2023-9-30","September WNV neuroinvasive disease cases","quantile",0.1,0
"Alabama","2023-04-30","2023-9-30","September WNV neuroinvasive disease cases","quantile",0.15,0
"Alabama","2023-04-30","2023-9-30","September WNV neuroinvasive disease cases","quantile",0.2,1
"Alabama","2023-04-30","2023-9-30","September WNV neuroinvasive disease cases","quantile",0.25,1
"Alabama","2023-04-30","2023-9-30","September WNV neuroinvasive disease cases","quantile",0.3,1
"Alabama","2023-04-30","2023-9-30","September WNV neuroinvasive disease cases","quantile",0.35,1
"Alabama","2023-04-30","2023-9-30","September WNV neuroinvasive disease cases","quantile",0.4,2
"Alabama","2023-04-30","2023-9-30","September WNV neuroinvasive disease cases","quantile",0.45,2
"Alabama","2023-04-30","2023-9-30","September WNV neuroinvasive disease cases","quantile",0.5,2
"Alabama","2023-04-30","2023-9-30","September WNV neuroinvasive disease cases","quantile",0.55,2
"Alabama","2023-04-30","2023-9-30","September WNV neuroinvasive disease cases","quantile",0.6,3
"Alabama","2023-04-30","2023-9-30","September WNV neuroinvasive disease cases","quantile",0.65,3
"Alabama","2023-04-30","2023-9-30","September WNV neuroinvasive disease cases","quantile",0.7,4
"Alabama","2023-04-30","2023-9-30","September WNV neuroinvasive disease cases","quantile",0.75,4
"Alabama","2023-04-30","2023-9-30","September WNV neuroinvasive disease cases","quantile",0.8,5
"Alabama","2023-04-30","2023-9-30","September WNV neuroinvasive disease cases","quantile",0.85,6
"Alabama","2023-04-30","2023-9-30","September WNV neuroinvasive disease cases","quantile",0.9,7
"Alabama","2023-04-30","2023-9-30","September WNV neuroinvasive disease cases","quantile",0.95,9
"Alabama","2023-04-30","2023-9-30","September WNV neuroinvasive disease cases","quantile",0.975,12
"Alabama","2023-04-30","2023-9-30","September WNV neuroinvasive disease cases","quantile",0.99,16
"Alabama","2023-04-30","2023-10-31","October WNV neuroinvasive disease cases","quantile",0.01,0
"Alabama","2023-04-30","2023-10-31","October WNV neuroinvasive disease cases","quantile",0.025,0
"Alabama","2023-04-30","2023-10-31","October WNV neuroinvasive disease cases","quantile",0.05,0
"Alabama","2023-04-30","2023-10-31","October WNV neuroinvasive disease cases","quantile",0.1,0
"Alabama","2023-04-30","2023-10-31","October WNV neuroinvasive disease cases","quantile",0.15,0
"Alabama","2023-04-30","2023-10-31","October WNV neuroinvasive disease cases","quantile",0.2,0
"Alabama","2023-04-30","2023-10-31","October WNV neuroinvasive disease cases","quantile",0.25,0
"Alabama","2023-04-30","2023-10-31","October WNV neuroinvasive disease cases","quantile",0.3,1
"Alabama","2023-04-30","2023-10-31","October WNV neuroinvasive disease cases","quantile",0.35,1
"Alabama","2023-04-30","2023-10-31","October WNV neuroinvasive disease cases","quantile",0.4,1
"Alabama","2023-04-30","2023-10-31","October WNV neuroinvasive disease cases","quantile",0.45,1
"Alabama","2023-04-30","2023-10-31","October WNV neuroinvasive disease cases","quantile",0.5,1
"Alabama","2023-04-30","2023-10-31","October WNV neuroinvasive disease cases","quantile",0.55,1
"Alabama","2023-04-30","2023-10-31","October WNV neuroinvasive disease cases","quantile",0.6,2
"Alabama","2023-04-30","2023-10-31","October WNV neuroinvasive disease cases","quantile",0.65,2
"Alabama","2023-04-30","2023-10-31","October WNV neuroinvasive disease cases","quantile",0.7,2
"Alabama","2023-04-30","2023-10-31","October WNV neuroinvasive disease cases","quantile",0.75,2
"Alabama","2023-04-30","2023-10-31","October WNV neuroinvasive disease cases","quantile",0.8,2
"Alabama","2023-04-30","2023-10-31","October WNV neuroinvasive disease cases","quantile",0.85,3
"Alabama","2023-04-30","2023-10-31","October WNV neuroinvasive disease cases","quantile",0.9,3
"Alabama","2023-04-30","2023-10-31","October WNV neuroinvasive disease cases","quantile",0.95,4
"Alabama","2023-04-30","2023-10-31","October WNV neuroinvasive disease cases","quantile",0.975,5
"Alabama","2023-04-30","2023-10-31","October WNV neuroinvasive disease cases","quantile",0.99,5
"Alabama","2023-04-30","2023-11-30","November WNV neuroinvasive disease cases","quantile",0.01,0
"Alabama","2023-04-30","2023-11-30","November WNV neuroinvasive disease cases","quantile",0.025,0
"Alabama","2023-04-30","2023-11-30","November WNV neuroinvasive disease cases","quantile",0.05,0
"Alabama","2023-04-30","2023-11-30","November WNV neuroinvasive disease cases","quantile",0.1,0
"Alabama","2023-04-30","2023-11-30","November WNV neuroinvasive disease cases","quantile",0.15,0
"Alabama","2023-04-30","2023-11-30","November WNV neuroinvasive disease cases","quantile",0.2,0
"Alabama","2023-04-30","2023-11-30","November WNV neuroinvasive disease cases","quantile",0.25,0
"Alabama","2023-04-30","2023-11-30","November WNV neuroinvasive disease cases","quantile",0.3,0
"Alabama","2023-04-30","2023-11-30","November WNV neuroinvasive disease cases","quantile",0.35,0
"Alabama","2023-04-30","2023-11-30","November WNV neuroinvasive disease cases","quantile",0.4,1
"Alabama","2023-04-30","2023-11-30","November WNV neuroinvasive disease cases","quantile",0.45,1
"Alabama","2023-04-30","2023-11-30","November WNV neuroinvasive disease cases","quantile",0.5,1
"Alabama","2023-04-30","2023-11-30","November WNV neuroinvasive disease cases","quantile",0.55,1
"Alabama","2023-04-30","2023-11-30","November WNV neuroinvasive disease cases","quantile",0.6,1
"Alabama","2023-04-30","2023-11-30","November WNV neuroinvasive disease cases","quantile",0.65,1
"Alabama","2023-04-30","2023-11-30","November WNV neuroinvasive disease cases","quantile",0.7,1
"Alabama","2023-04-30","2023-11-30","November WNV neuroinvasive disease cases","quantile",0.75,2
"Alabama","2023-04-30","2023-11-30","November WNV neuroinvasive disease cases","quantile",0.8,2
"Alabama","2023-04-30","2023-11-30","November WNV neuroinvasive disease cases","quantile",0.85,2
"Alabama","2023-04-30","2023-11-30","November WNV neuroinvasive disease cases","quantile",0.9,2
"Alabama","2023-04-30","2023-11-30","November WNV neuroinvasive disease cases","quantile",0.95,3
"Alabama","2023-04-30","2023-11-30","November WNV neuroinvasive disease cases","quantile",0.975,3
"Alabama","2023-04-30","2023-11-30","November WNV neuroinvasive disease cases","quantile",0.99,4
"Alabama","2023-04-30","2023-12-31","December WNV neuroinvasive disease cases","quantile",0.01,0
"Alabama","2023-04-30","2023-12-31","December WNV neuroinvasive disease cases","quantile",0.025,0
"Alabama","2023-04-30","2023-12-31","December WNV neuroinvasive disease cases","quantile",0.05,0
"Alabama","2023-04-30","2023-12-31","December WNV neuroinvasive disease cases","quantile",0.1,0
"Alabama","2023-04-30","2023-12-31","December WNV neuroinvasive disease cases","quantile",0.15,0
"Alabama","2023-04-30","2023-12-31","December WNV neuroinvasive disease cases","quantile",0.2,0
"Alabama","2023-04-30","2023-12-31","December WNV neuroinvasive disease cases","quantile",0.25,0
"Alabama","2023-04-30","2023-12-31","December WNV neuroinvasive disease cases","quantile",0.3,0
"Alabama","2023-04-30","2023-12-31","December WNV neuroinvasive disease cases","quantile",0.35,0
"Alabama","2023-04-30","2023-12-31","December WNV neuroinvasive disease cases","quantile",0.4,0
"Alabama","2023-04-30","2023-12-31","December WNV neuroinvasive disease cases","quantile",0.45,1
"Alabama","2023-04-30","2023-12-31","December WNV neuroinvasive disease cases","quantile",0.5,1
"Alabama","2023-04-30","2023-12-31","December WNV neuroinvasive disease cases","quantile",0.55,1
"Alabama","2023-04-30","2023-12-31","December WNV neuroinvasive disease cases","quantile",0.6,1
"Alabama","2023-04-30","2023-12-31","December WNV neuroinvasive disease cases","quantile",0.65,1
"Alabama","2023-04-30","2023-12-31","December WNV neuroinvasive disease cases","quantile",0.7,1
"Alabama","2023-04-30","2023-12-31","December WNV neuroinvasive disease cases","quantile",0.75,1
"Alabama","2023-04-30","2023-12-31","December WNV neuroinvasive disease cases","quantile",0.8,2
"Alabama","2023-04-30","2023-12-31","December WNV neuroinvasive disease cases","quantile",0.85,2
"Alabama","2023-04-30","2023-12-31","December WNV neuroinvasive disease cases","quantile",0.9,2
"Alabama","2023-04-30","2023-12-31","December WNV neuroinvasive disease cases","quantile",0.95,3
"Alabama","2023-04-30","2023-12-31","December WNV neuroinvasive disease cases","quantile",0.975,3
"Alabama","2023-04-30","2023-12-31","December WNV neuroinvasive disease cases","quantile",0.99,4
"Arkansas","2023-04-30","2023-5-31","May WNV neuroinvasive disease cases","quantile",0.01,0
"Arkansas","2023-04-30","2023-5-31","May WNV neuroinvasive disease cases","quantile",0.025,0
"Arkansas","2023-04-30","2023-5-31","May WNV neuroinvasive disease cases","quantile",0.05,0
"Arkansas","2023-04-30","2023-5-31","May WNV neuroinvasive disease cases","quantile",0.1,0
"Arkansas","2023-04-30","2023-5-31","May WNV neuroinvasive disease cases","quantile",0.15,0
"Arkansas","2023-04-30","2023-5-31","May WNV neuroinvasive disease cases","quantile",0.2,0
"Arkansas","2023-04-30","2023-5-31","May WNV neuroinvasive disease cases","quantile",0.25,0
"Arkansas","2023-04-30","2023-5-31","May WNV neuroinvasive disease cases","quantile",0.3,0
"Arkansas","2023-04-30","2023-5-31","May WNV neuroinvasive disease cases","quantile",0.35,0
"Arkansas","2023-04-30","2023-5-31","May WNV neuroinvasive disease cases","quantile",0.4,0
"Arkansas","2023-04-30","2023-5-31","May WNV neuroinvasive disease cases","quantile",0.45,0
"Arkansas","2023-04-30","2023-5-31","May WNV neuroinvasive disease cases","quantile",0.5,1
"Arkansas","2023-04-30","2023-5-31","May WNV neuroinvasive disease cases","quantile",0.55,1
"Arkansas","2023-04-30","2023-5-31","May WNV neuroinvasive disease cases","quantile",0.6,1
"Arkansas","2023-04-30","2023-5-31","May WNV neuroinvasive disease cases","quantile",0.65,1
"Arkansas","2023-04-30","2023-5-31","May WNV neuroinvasive disease cases","quantile",0.7,1
"Arkansas","2023-04-30","2023-5-31","May WNV neuroinvasive disease cases","quantile",0.75,1
"Arkansas","2023-04-30","2023-5-31","May WNV neuroinvasive disease cases","quantile",0.8,1
"Arkansas","2023-04-30","2023-5-31","May WNV neuroinvasive disease cases","quantile",0.85,2
"Arkansas","2023-04-30","2023-5-31","May WNV neuroinvasive disease cases","quantile",0.9,2
"Arkansas","2023-04-30","2023-5-31","May WNV neuroinvasive disease cases","quantile",0.95,3
"Arkansas","2023-04-30","2023-5-31","May WNV neuroinvasive disease cases","quantile",0.975,3
"Arkansas","2023-04-30","2023-5-31","May WNV neuroinvasive disease cases","quantile",0.99,4
"Arkansas","2023-04-30","2023-6-30","June WNV neuroinvasive disease cases","quantile",0.01,0
"Arkansas","2023-04-30","2023-6-30","June WNV neuroinvasive disease cases","quantile",0.025,0
"Arkansas","2023-04-30","2023-6-30","June WNV neuroinvasive disease cases","quantile",0.05,0
"Arkansas","2023-04-30","2023-6-30","June WNV neuroinvasive disease cases","quantile",0.1,0
"Arkansas","2023-04-30","2023-6-30","June WNV neuroinvasive disease cases","quantile",0.15,0
"Arkansas","2023-04-30","2023-6-30","June WNV neuroinvasive disease cases","quantile",0.2,0
"Arkansas","2023-04-30","2023-6-30","June WNV neuroinvasive disease cases","quantile",0.25,0
"Arkansas","2023-04-30","2023-6-30","June WNV neuroinvasive disease cases","quantile",0.3,0
"Arkansas","2023-04-30","2023-6-30","June WNV neuroinvasive disease cases","quantile",0.35,0
"Arkansas","2023-04-30","2023-6-30","June WNV neuroinvasive disease cases","quantile",0.4,1
"Arkansas","2023-04-30","2023-6-30","June WNV neuroinvasive disease cases","quantile",0.45,1
"Arkansas","2023-04-30","2023-6-30","June WNV neuroinvasive disease cases","quantile",0.5,1
"Arkansas","2023-04-30","2023-6-30","June WNV neuroinvasive disease cases","quantile",0.55,1
"Arkansas","2023-04-30","2023-6-30","June WNV neuroinvasive disease cases","quantile",0.6,1
"Arkansas","2023-04-30","2023-6-30","June WNV neuroinvasive disease cases","quantile",0.65,1
"Arkansas","2023-04-30","2023-6-30","June WNV neuroinvasive disease cases","quantile",0.7,1
"Arkansas","2023-04-30","2023-6-30","June WNV neuroinvasive disease cases","quantile",0.75,1
"Arkansas","2023-04-30","2023-6-30","June WNV neuroinvasive disease cases","quantile",0.8,2
"Arkansas","2023-04-30","2023-6-30","June WNV neuroinvasive disease cases","quantile",0.85,2
"Arkansas","2023-04-30","2023-6-30","June WNV neuroinvasive disease cases","quantile",0.9,2
"Arkansas","2023-04-30","2023-6-30","June WNV neuroinvasive disease cases","quantile",0.95,3
"Arkansas","2023-04-30","2023-6-30","June WNV neuroinvasive disease cases","quantile",0.975,3
"Arkansas","2023-04-30","2023-6-30","June WNV neuroinvasive disease cases","quantile",0.99,4
"Arkansas","2023-04-30","2023-7-31","July WNV neuroinvasive disease cases","quantile",0.01,0
"Arkansas","2023-04-30","2023-7-31","July WNV neuroinvasive disease cases","quantile",0.025,0
"Arkansas","2023-04-30","2023-7-31","July WNV neuroinvasive disease cases","quantile",0.05,0
"Arkansas","2023-04-30","2023-7-31","July WNV neuroinvasive disease cases","quantile",0.1,0
"Arkansas","2023-04-30","2023-7-31","July WNV neuroinvasive disease cases","quantile",0.15,0
"Arkansas","2023-04-30","2023-7-31","July WNV neuroinvasive disease cases","quantile",0.2,0
"Arkansas","2023-04-30","2023-7-31","July WNV neuroinvasive disease cases","quantile",0.25,1
"Arkansas","2023-04-30","2023-7-31","July WNV neuroinvasive disease cases","quantile",0.3,1
"Arkansas","2023-04-30","2023-7-31","July WNV neuroinvasive disease cases","quantile",0.35,1
"Arkansas","2023-04-30","2023-7-31","July WNV neuroinvasive disease cases","quantile",0.4,1
"Arkansas","2023-04-30","2023-7-31","July WNV neuroinvasive disease cases","quantile",0.45,1
"Arkansas","2023-04-30","2023-7-31","July WNV neuroinvasive disease cases","quantile",0.5,2
"Arkansas","2023-04-30","2023-7-31","July WNV neuroinvasive disease cases","quantile",0.55,2
"Arkansas","2023-04-30","2023-7-31","July WNV neuroinvasive disease cases","quantile",0.6,2
"Arkansas","2023-04-30","2023-7-31","July WNV neuroinvasive disease cases","quantile",0.65,2
"Arkansas","2023-04-30","2023-7-31","July WNV neuroinvasive disease cases","quantile",0.7,2
"Arkansas","2023-04-30","2023-7-31","July WNV neuroinvasive disease cases","quantile",0.75,3
"Arkansas","2023-04-30","2023-7-31","July WNV neuroinvasive disease cases","quantile",0.8,3
"Arkansas","2023-04-30","2023-7-31","July WNV neuroinvasive disease cases","quantile",0.85,3
"Arkansas","2023-04-30","2023-7-31","July WNV neuroinvasive disease cases","quantile",0.9,4
"Arkansas","2023-04-30","2023-7-31","July WNV neuroinvasive disease cases","quantile",0.95,5
"Arkansas","2023-04-30","2023-7-31","July WNV neuroinvasive disease cases","quantile",0.975,6
"Arkansas","2023-04-30","2023-7-31","July WNV neuroinvasive disease cases","quantile",0.99,7
"Arkansas","2023-04-30","2023-8-31","August WNV neuroinvasive disease cases","quantile",0.01,0
"Arkansas","2023-04-30","2023-8-31","August WNV neuroinvasive disease cases","quantile",0.025,0
"Arkansas","2023-04-30","2023-8-31","August WNV neuroinvasive disease cases","quantile",0.05,0
"Arkansas","2023-04-30","2023-8-31","August WNV neuroinvasive disease cases","quantile",0.1,0
"Arkansas","2023-04-30","2023-8-31","August WNV neuroinvasive disease cases","quantile",0.15,1
"Arkansas","2023-04-30","2023-8-31","August WNV neuroinvasive disease cases","quantile",0.2,1
"Arkansas","2023-04-30","2023-8-31","August WNV neuroinvasive disease cases","quantile",0.25,2
"Arkansas","2023-04-30","2023-8-31","August WNV neuroinvasive disease cases","quantile",0.3,2
"Arkansas","2023-04-30","2023-8-31","August WNV neuroinvasive disease cases","quantile",0.35,2
"Arkansas","2023-04-30","2023-8-31","August WNV neuroinvasive disease cases","quantile",0.4,3
"Arkansas","2023-04-30","2023-8-31","August WNV neuroinvasive disease cases","quantile",0.45,3
"Arkansas","2023-04-30","2023-8-31","August WNV neuroinvasive disease cases","quantile",0.5,4
"Arkansas","2023-04-30","2023-8-31","August WNV neuroinvasive disease cases","quantile",0.55,5
"Arkansas","2023-04-30","2023-8-31","August WNV neuroinvasive disease cases","quantile",0.6,5
"Arkansas","2023-04-30","2023-8-31","August WNV neuroinvasive disease cases","quantile",0.65,6
"Arkansas","2023-04-30","2023-8-31","August WNV neuroinvasive disease cases","quantile",0.7,7
"Arkansas","2023-04-30","2023-8-31","August WNV neuroinvasive disease cases","quantile",0.75,8
"Arkansas","2023-04-30","2023-8-31","August WNV neuroinvasive disease cases","quantile",0.8,9
"Arkansas","2023-04-30","2023-8-31","August WNV neuroinvasive disease cases","quantile",0.85,10
"Arkansas","2023-04-30","2023-8-31","August WNV neuroinvasive disease cases","quantile",0.9,13
"Arkansas","2023-04-30","2023-8-31","August WNV neuroinvasive disease cases","quantile",0.95,16
"Arkansas","2023-04-30","2023-8-31","August WNV neuroinvasive disease cases","quantile",0.975,21
"Arkansas","2023-04-30","2023-8-31","August WNV neuroinvasive disease cases","quantile",0.99,26
"Arkansas","2023-04-30","2023-9-30","September WNV neuroinvasive disease cases","quantile",0.01,0
"Arkansas","2023-04-30","2023-9-30","September WNV neuroinvasive disease cases","quantile",0.025,0
"Arkansas","2023-04-30","2023-9-30","September WNV neuroinvasive disease cases","quantile",0.05,0
"Arkansas","2023-04-30","2023-9-30","September WNV neuroinvasive disease cases","quantile",0.1,0
"Arkansas","2023-04-30","2023-9-30","September WNV neuroinvasive disease cases","quantile",0.15,1
"Arkansas","2023-04-30","2023-9-30","September WNV neuroinvasive disease cases","quantile",0.2,1
"Arkansas","2023-04-30","2023-9-30","September WNV neuroinvasive disease cases","quantile",0.25,1
"Arkansas","2023-04-30","2023-9-30","September WNV neuroinvasive disease cases","quantile",0.3,2
"Arkansas","2023-04-30","2023-9-30","September WNV neuroinvasive disease cases","quantile",0.35,2
"Arkansas","2023-04-30","2023-9-30","September WNV neuroinvasive disease cases","quantile",0.4,2
"Arkansas","2023-04-30","2023-9-30","September WNV neuroinvasive disease cases","quantile",0.45,3
"Arkansas","2023-04-30","2023-9-30","September WNV neuroinvasive disease cases","quantile",0.5,3
"Arkansas","2023-04-30","2023-9-30","September WNV neuroinvasive disease cases","quantile",0.55,3
"Arkansas","2023-04-30","2023-9-30","September WNV neuroinvasive disease cases","quantile",0.6,4
"Arkansas","2023-04-30","2023-9-30","September WNV neuroinvasive disease cases","quantile",0.65,4
"Arkansas","2023-04-30","2023-9-30","September WNV neuroinvasive disease cases","quantile",0.7,5
"Arkansas","2023-04-30","2023-9-30","September WNV neuroinvasive disease cases","quantile",0.75,6
"Arkansas","2023-04-30","2023-9-30","September WNV neuroinvasive disease cases","quantile",0.8,7
"Arkansas","2023-04-30","2023-9-30","September WNV neuroinvasive disease cases","quantile",0.85,8
"Arkansas","2023-04-30","2023-9-30","September WNV neuroinvasive disease cases","quantile",0.9,9
"Arkansas","2023-04-30","2023-9-30","September WNV neuroinvasive disease cases","quantile",0.95,12
"Arkansas","2023-04-30","2023-9-30","September WNV neuroinvasive disease cases","quantile",0.975,16
"Arkansas","2023-04-30","2023-9-30","September WNV neuroinvasive disease cases","quantile",0.99,20
"Arkansas","2023-04-30","2023-10-31","October WNV neuroinvasive disease cases","quantile",0.01,0
