location,target,forecast_date,value,type,target_end_date,quantile
Alabama,June WNV neuroinvasive disease cases,2023-04-30,9,quantile,2023-06-30,0.99
Alabama,July WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-07-31,0.01
Alabama,July WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-07-31,0.025
Alabama,July WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-07-31,0.05
Alabama,July WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-07-31,0.1
Alabama,July WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-07-31,0.15
Alabama,July WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-07-31,0.2
Alabama,July WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-07-31,0.25
Alabama,July WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-07-31,0.3
Alabama,July WNV neuroinvasive disease cases,2023-04-30,1,quantile,2023-07-31,0.35
Alabama,July WNV neuroinvasive disease cases,2023-04-30,1,quantile,2023-07-31,0.4
Alabama,July WNV neuroinvasive disease cases,2023-04-30,2,quantile,2023-07-31,0.45
Alabama,July WNV neuroinvasive disease cases,2023-04-30,3,quantile,2023-07-31,0.5
Alabama,July WNV neuroinvasive disease cases,2023-04-30,4,quantile,2023-07-31,0.55
Alabama,July WNV neuroinvasive disease cases,2023-04-30,5,quantile,2023-07-31,0.6
Alabama,July WNV neuroinvasive disease cases,2023-04-30,6,quantile,2023-07-31,0.65
Alabama,July WNV neuroinvasive disease cases,2023-04-30,7,quantile,2023-07-31,0.7
Alabama,July WNV neuroinvasive disease cases,2023-04-30,8,quantile,2023-07-31,0.75
Alabama,July WNV neuroinvasive disease cases,2023-04-30,9,quantile,2023-07-31,0.8
Alabama,July WNV neuroinvasive disease cases,2023-04-30,10,quantile,2023-07-31,0.85
Alabama,July WNV neuroinvasive disease cases,2023-04-30,12,quantile,2023-07-31,0.9
Alabama,July WNV neuroinvasive disease cases,2023-04-30,15,quantile,2023-07-31,0.95
Alabama,July WNV neuroinvasive disease cases,2023-04-30,17,quantile,2023-07-31,0.975
Alabama,July WNV neuroinvasive disease cases,2023-04-30,20,quantile,2023-07-31,0.99
Alabama,August WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-08-31,0.01
Alabama,August WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-08-31,0.025
Alabama,August WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-08-31,0.05
Alabama,August WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-08-31,0.1
Alabama,August WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-08-31,0.15
Alabama,August WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-08-31,0.2
Alabama,August WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-08-31,0.25
Alabama,August WNV neuroinvasive disease cases,2023-04-30,1,quantile,2023-08-31,0.3
Alabama,August WNV neuroinvasive disease cases,2023-04-30,2,quantile,2023-08-31,0.35
Alabama,August WNV neuroinvasive disease cases,2023-04-30,3,quantile,2023-08-31,0.4
Alabama,August WNV neuroinvasive disease cases,2023-04-30,4,quantile,2023-08-31,0.45
Alabama,August WNV neuroinvasive disease cases,2023-04-30,5,quantile,2023-08-31,0.5
Alabama,August WNV neuroinvasive disease cases,2023-04-30,6,quantile,2023-08-31,0.55
Alabama,August WNV neuroinvasive disease cases,2023-04-30,8,quantile,2023-08-31,0.6
Alabama,August WNV neuroinvasive disease cases,2023-04-30,9,quantile,2023-08-31,0.65
Alabama,August WNV neuroinvasive disease cases,2023-04-30,10,quantile,2023-08-31,0.7
Alabama,August WNV neuroinvasive disease cases,2023-04-30,11,quantile,2023-08-31,0.75
Alabama,August WNV neuroinvasive disease cases,2023-04-30,13,quantile,2023-08-31,0.8
Alabama,August WNV neuroinvasive disease cases,2023-04-30,15,quantile,2023-08-31,0.85
Alabama,August WNV neuroinvasive disease cases,2023-04-30,17,quantile,2023-08-31,0.9
Alabama,August WNV neuroinvasive disease cases,2023-04-30,21,quantile,2023-08-31,0.95
Alabama,August WNV neuroinvasive disease cases,2023-04-30,25,quantile,2023-08-31,0.975
Alabama,August WNV neuroinvasive disease cases,2023-04-30,29,quantile,2023-08-31,0.99
Alabama,September WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-09-30,0.01
Alabama,September WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-09-30,0.025
Alabama,September WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-09-30,0.05
Alabama,September WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-09-30,0.1
Alabama,September WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-09-30,0.15
Alabama,September WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-09-30,0.2
Alabama,September WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-09-30,0.25
Alabama,September WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-09-30,0.3
Alabama,September WNV neuroinvasive disease cases,2023-04-30,1,quantile,2023-09-30,0.35
Alabama,September WNV neuroinvasive disease cases,2023-04-30,2,quantile,2023-09-30,0.4
Alabama,September WNV neuroinvasive disease cases,2023-04-30,2,quantile,2023-09-30,0.45
Alabama,September WNV neuroinvasive disease cases,2023-04-30,3,quantile,2023-09-30,0.5
Alabama,September WNV neuroinvasive disease cases,2023-04-30,4,quantile,2023-09-30,0.55
Alabama,September WNV neuroinvasive disease cases,2023-04-30,5,quantile,2023-09-30,0.6
Alabama,September WNV neuroinvasive disease cases,2023-04-30,6,quantile,2023-09-30,0.65
Alabama,September WNV neuroinvasive disease cases,2023-04-30,7,quantile,2023-09-30,0.7
Alabama,September WNV neuroinvasive disease cases,2023-04-30,8,quantile,2023-09-30,0.75
Alabama,September WNV neuroinvasive disease cases,2023-04-30,9,quantile,2023-09-30,0.8
Alabama,September WNV neuroinvasive disease cases,2023-04-30,11,quantile,2023-09-30,0.85
Alabama,September WNV neuroinvasive disease cases,2023-04-30,13,quantile,2023-09-30,0.9
Alabama,September WNV neuroinvasive disease cases,2023-04-30,16,quantile,2023-09-30,0.95
Alabama,September WNV neuroinvasive disease cases,2023-04-30,18,quantile,2023-09-30,0.975
Alabama,September WNV neuroinvasive disease cases,2023-04-30,21,quantile,2023-09-30,0.99
Alabama,October WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-10-31,0.01
Alabama,October WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-10-31,0.025
Alabama,October WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-10-31,0.05
Alabama,October WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-10-31,0.1
Alabama,October WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-10-31,0.15
Alabama,October WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-10-31,0.2
Alabama,October WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-10-31,0.25
Alabama,October WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-10-31,0.3
Alabama,October WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-10-31,0.35
Alabama,October WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-10-31,0.4
Alabama,October WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-10-31,0.45
Alabama,October WNV neuroinvasive disease cases,2023-04-30,1,quantile,2023-10-31,0.5
Alabama,October WNV neuroinvasive disease cases,2023-04-30,2,quantile,2023-10-31,0.55
Alabama,October WNV neuroinvasive disease cases,2023-04-30,2,quantile,2023-10-31,0.6
Alabama,October WNV neuroinvasive disease cases,2023-04-30,3,quantile,2023-10-31,0.65
Alabama,October WNV neuroinvasive disease cases,2023-04-30,4,quantile,2023-10-31,0.7
Alabama,October WNV neuroinvasive disease cases,2023-04-30,4,quantile,2023-10-31,0.75
Alabama,October WNV neuroinvasive disease cases,2023-04-30,5,quantile,2023-10-31,0.8
Alabama,October WNV neuroinvasive disease cases,2023-04-30,6,quantile,2023-10-31,0.85
Alabama,October WNV neuroinvasive disease cases,2023-04-30,8,quantile,2023-10-31,0.9
Alabama,October WNV neuroinvasive disease cases,2023-04-30,9,quantile,2023-10-31,0.95
Alabama,October WNV neuroinvasive disease cases,2023-04-30,11,quantile,2023-10-31,0.975
Alabama,October WNV neuroinvasive disease cases,2023-04-30,13,quantile,2023-10-31,0.99
Alabama,November WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-11-30,0.01
Alabama,November WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-11-30,0.025
Alabama,November WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-11-30,0.05
Alabama,November WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-11-30,0.1
Alabama,November WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-11-30,0.15
Alabama,November WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-11-30,0.2
Alabama,November WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-11-30,0.25
Alabama,November WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-11-30,0.3
Alabama,November WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-11-30,0.35
Alabama,November WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-11-30,0.4
Alabama,November WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-11-30,0.45
Alabama,November WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-11-30,0.5
Alabama,November WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-11-30,0.55
Alabama,November WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-11-30,0.6
Alabama,November WNV neuroinvasive disease cases,2023-04-30,1,quantile,2023-11-30,0.65
Alabama,November WNV neuroinvasive disease cases,2023-04-30,2,quantile,2023-11-30,0.7
Alabama,November WNV neuroinvasive disease cases,2023-04-30,2,quantile,2023-11-30,0.75
Alabama,November WNV neuroinvasive disease cases,2023-04-30,3,quantile,2023-11-30,0.8
Alabama,November WNV neuroinvasive disease cases,2023-04-30,3,quantile,2023-11-30,0.85
Alabama,November WNV neuroinvasive disease cases,2023-04-30,4,quantile,2023-11-30,0.9
Alabama,November WNV neuroinvasive disease cases,2023-04-30,6,quantile,2023-11-30,0.95
Alabama,November WNV neuroinvasive disease cases,2023-04-30,7,quantile,2023-11-30,0.975
Alabama,November WNV neuroinvasive disease cases,2023-04-30,8,quantile,2023-11-30,0.99
Alabama,December WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-12-31,0.01
Alabama,December WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-12-31,0.025
Alabama,December WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-12-31,0.05
Alabama,December WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-12-31,0.1
Alabama,December WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-12-31,0.15
Alabama,December WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-12-31,0.2
Alabama,December WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-12-31,0.25
Alabama,December WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-12-31,0.3
Alabama,December WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-12-31,0.35
Alabama,December WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-12-31,0.4
Alabama,December WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-12-31,0.45
Alabama,December WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-12-31,0.5
Alabama,December WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-12-31,0.55
Alabama,December WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-12-31,0.6
Alabama,December WNV neuroinvasive disease cases,2023-04-30,1,quantile,2023-12-31,0.65
Alabama,December WNV neuroinvasive disease cases,2023-04-30,1,quantile,2023-12-31,0.7
Alabama,December WNV neuroinvasive disease cases,2023-04-30,2,quantile,2023-12-31,0.75
Alabama,December WNV neuroinvasive disease cases,2023-04-30,2,quantile,2023-12-31,0.8
Alabama,December WNV neuroinvasive disease cases,2023-04-30,3,quantile,2023-12-31,0.85
Alabama,December WNV neuroinvasive disease cases,2023-04-30,3,quantile,2023-12-31,0.9
Alabama,December WNV neuroinvasive disease cases,2023-04-30,4,quantile,2023-12-31,0.95
Alabama,December WNV neuroinvasive disease cases,2023-04-30,5,quantile,2023-12-31,0.975
Alabama,December WNV neuroinvasive disease cases,2023-04-30,6,quantile,2023-12-31,0.99
Arizona,May WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-05-31,0.01
Arizona,May WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-05-31,0.025
Arizona,May WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-05-31,0.05
Arizona,May WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-05-31,0.1
Arizona,May WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-05-31,0.15
Arizona,May WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-05-31,0.2
Arizona,May WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-05-31,0.25
Arizona,May WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-05-31,0.3
Arizona,May WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-05-31,0.35
Arizona,May WNV neuroinvasive disease cases,2023-04-30,1,quantile,2023-05-31,0.4
Arizona,May WNV neuroinvasive disease cases,2023-04-30,1,quantile,2023-05-31,0.45
Arizona,May WNV neuroinvasive disease cases,2023-04-30,2,quantile,2023-05-31,0.5
Arizona,May WNV neuroinvasive disease cases,2023-04-30,3,quantile,2023-05-31,0.55
Arizona,May WNV neuroinvasive disease cases,2023-04-30,4,quantile,2023-05-31,0.6
Arizona,May WNV neuroinvasive disease cases,2023-04-30,5,quantile,2023-05-31,0.65
Arizona,May WNV neuroinvasive disease cases,2023-04-30,5,quantile,2023-05-31,0.7
Arizona,May WNV neuroinvasive disease cases,2023-04-30,6,quantile,2023-05-31,0.75
Arizona,May WNV neuroinvasive disease cases,2023-04-30,7,quantile,2023-05-31,0.8
Arizona,May WNV neuroinvasive disease cases,2023-04-30,9,quantile,2023-05-31,0.85
Arizona,May WNV neuroinvasive disease cases,2023-04-30,10,quantile,2023-05-31,0.9
Arizona,May WNV neuroinvasive disease cases,2023-04-30,13,quantile,2023-05-31,0.95
Arizona,May WNV neuroinvasive disease cases,2023-04-30,15,quantile,2023-05-31,0.975
Arizona,May WNV neuroinvasive disease cases,2023-04-30,17,quantile,2023-05-31,0.99
Arizona,June WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-06-30,0.01
Arizona,June WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-06-30,0.025
Arizona,June WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-06-30,0.05
Arizona,June WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-06-30,0.1
Arizona,June WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-06-30,0.15
Arizona,June WNV neuroinvasive disease cases,2023-04-30,2,quantile,2023-06-30,0.2
Arizona,June WNV neuroinvasive disease cases,2023-04-30,3,quantile,2023-06-30,0.25
Arizona,June WNV neuroinvasive disease cases,2023-04-30,4,quantile,2023-06-30,0.3
Arizona,June WNV neuroinvasive disease cases,2023-04-30,6,quantile,2023-06-30,0.35
Arizona,June WNV neuroinvasive disease cases,2023-04-30,7,quantile,2023-06-30,0.4
Arizona,June WNV neuroinvasive disease cases,2023-04-30,9,quantile,2023-06-30,0.45
Arizona,June WNV neuroinvasive disease cases,2023-04-30,10,quantile,2023-06-30,0.5
Arizona,June WNV neuroinvasive disease cases,2023-04-30,12,quantile,2023-06-30,0.55
Arizona,June WNV neuroinvasive disease cases,2023-04-30,13,quantile,2023-06-30,0.6
Arizona,June WNV neuroinvasive disease cases,2023-04-30,15,quantile,2023-06-30,0.65
Arizona,June WNV neuroinvasive disease cases,2023-04-30,17,quantile,2023-06-30,0.7
Arizona,June WNV neuroinvasive disease cases,2023-04-30,19,quantile,2023-06-30,0.75
Arizona,June WNV neuroinvasive disease cases,2023-04-30,21,quantile,2023-06-30,0.8
Arizona,June WNV neuroinvasive disease cases,2023-04-30,24,quantile,2023-06-30,0.85
Arizona,June WNV neuroinvasive disease cases,2023-04-30,27,quantile,2023-06-30,0.9
Arizona,June WNV neuroinvasive disease cases,2023-04-30,32,quantile,2023-06-30,0.95
Arizona,June WNV neuroinvasive disease cases,2023-04-30,37,quantile,2023-06-30,0.975
Arizona,June WNV neuroinvasive disease cases,2023-04-30,43,quantile,2023-06-30,0.99
Arizona,July WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-07-31,0.01
Arizona,July WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-07-31,0.025
Arizona,July WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-07-31,0.05
Arizona,July WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-07-31,0.1
Arizona,July WNV neuroinvasive disease cases,2023-04-30,1,quantile,2023-07-31,0.15
Arizona,July WNV neuroinvasive disease cases,2023-04-30,3,quantile,2023-07-31,0.2
Arizona,July WNV neuroinvasive disease cases,2023-04-30,4,quantile,2023-07-31,0.25
Arizona,July WNV neuroinvasive disease cases,2023-04-30,6,quantile,2023-07-31,0.3
Arizona,July WNV neuroinvasive disease cases,2023-04-30,7,quantile,2023-07-31,0.35
Arizona,July WNV neuroinvasive disease cases,2023-04-30,9,quantile,2023-07-31,0.4
Arizona,July WNV neuroinvasive disease cases,2023-04-30,11,quantile,2023-07-31,0.45
Arizona,July WNV neuroinvasive disease cases,2023-04-30,12,quantile,2023-07-31,0.5
Arizona,July WNV neuroinvasive disease cases,2023-04-30,14,quantile,2023-07-31,0.55
Arizona,July WNV neuroinvasive disease cases,2023-04-30,16,quantile,2023-07-31,0.6
Arizona,July WNV neuroinvasive disease cases,2023-04-30,18,quantile,2023-07-31,0.65
Arizona,July WNV neuroinvasive disease cases,2023-04-30,20,quantile,2023-07-31,0.7
Arizona,July WNV neuroinvasive disease cases,2023-04-30,22,quantile,2023-07-31,0.75
Arizona,July WNV neuroinvasive disease cases,2023-04-30,25,quantile,2023-07-31,0.8
Arizona,July WNV neuroinvasive disease cases,2023-04-30,28,quantile,2023-07-31,0.85
Arizona,July WNV neuroinvasive disease cases,2023-04-30,32,quantile,2023-07-31,0.9
Arizona,July WNV neuroinvasive disease cases,2023-04-30,38,quantile,2023-07-31,0.95
Arizona,July WNV neuroinvasive disease cases,2023-04-30,43,quantile,2023-07-31,0.975
Arizona,July WNV neuroinvasive disease cases,2023-04-30,50,quantile,2023-07-31,0.99
Arizona,August WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-08-31,0.01
Arizona,August WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-08-31,0.025
Arizona,August WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-08-31,0.05
Arizona,August WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-08-31,0.1
Arizona,August WNV neuroinvasive disease cases,2023-04-30,2,quantile,2023-08-31,0.15
Arizona,August WNV neuroinvasive disease cases,2023-04-30,4,quantile,2023-08-31,0.2
Arizona,August WNV neuroinvasive disease cases,2023-04-30,6,quantile,2023-08-31,0.25
Arizona,August WNV neuroinvasive disease cases,2023-04-30,8,quantile,2023-08-31,0.3
Arizona,August WNV neuroinvasive disease cases,2023-04-30,9,quantile,2023-08-31,0.35
Arizona,August WNV neuroinvasive disease cases,2023-04-30,11,quantile,2023-08-31,0.4
Arizona,August WNV neuroinvasive disease cases,2023-04-30,13,quantile,2023-08-31,0.45
Arizona,August WNV neuroinvasive disease cases,2023-04-30,15,quantile,2023-08-31,0.5
Arizona,August WNV neuroinvasive disease cases,2023-04-30,17,quantile,2023-08-31,0.55
Arizona,August WNV neuroinvasive disease cases,2023-04-30,19,quantile,2023-08-31,0.6
Arizona,August WNV neuroinvasive disease cases,2023-04-30,21,quantile,2023-08-31,0.65
Arizona,August WNV neuroinvasive disease cases,2023-04-30,24,quantile,2023-08-31,0.7
Arizona,August WNV neuroinvasive disease cases,2023-04-30,26,quantile,2023-08-31,0.75
Arizona,August WNV neuroinvasive disease cases,2023-04-30,29,quantile,2023-08-31,0.8
Arizona,August WNV neuroinvasive disease cases,2023-04-30,33,quantile,2023-08-31,0.85
Arizona,August WNV neuroinvasive disease cases,2023-04-30,37,quantile,2023-08-31,0.9
Arizona,August WNV neuroinvasive disease cases,2023-04-30,44,quantile,2023-08-31,0.95
Arizona,August WNV neuroinvasive disease cases,2023-04-30,50,quantile,2023-08-31,0.975
Arizona,August WNV neuroinvasive disease cases,2023-04-30,57,quantile,2023-08-31,0.99
Arizona,September WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-09-30,0.01
Arizona,September WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-09-30,0.025
Arizona,September WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-09-30,0.05
Arizona,September WNV neuroinvasive disease cases,2023-04-30,2,quantile,2023-09-30,0.1
Arizona,September WNV neuroinvasive disease cases,2023-04-30,5,quantile,2023-09-30,0.15
Arizona,September WNV neuroinvasive disease cases,2023-04-30,7,quantile,2023-09-30,0.2
Arizona,September WNV neuroinvasive disease cases,2023-04-30,10,quantile,2023-09-30,0.25
Arizona,September WNV neuroinvasive disease cases,2023-04-30,13,quantile,2023-09-30,0.3
Arizona,September WNV neuroinvasive disease cases,2023-04-30,15,quantile,2023-09-30,0.35
Arizona,September WNV neuroinvasive disease cases,2023-04-30,18,quantile,2023-09-30,0.4
Arizona,September WNV neuroinvasive disease cases,2023-04-30,21,quantile,2023-09-30,0.45
Arizona,September WNV neuroinvasive disease cases,2023-04-30,24,quantile,2023-09-30,0.5
Arizona,September WNV neuroinvasive disease cases,2023-04-30,26,quantile,2023-09-30,0.55
Arizona,September WNV neuroinvasive disease cases,2023-04-30,30,quantile,2023-09-30,0.6
Arizona,September WNV neuroinvasive disease cases,2023-04-30,33,quantile,2023-09-30,0.65
Arizona,September WNV neuroinvasive disease cases,2023-04-30,36,quantile,2023-09-30,0.7
Arizona,September WNV neuroinvasive disease cases,2023-04-30,40,quantile,2023-09-30,0.75
Arizona,September WNV neuroinvasive disease cases,2023-04-30,45,quantile,2023-09-30,0.8
Arizona,September WNV neuroinvasive disease cases,2023-04-30,50,quantile,2023-09-30,0.85
Arizona,September WNV neuroinvasive disease cases,2023-04-30,57,quantile,2023-09-30,0.9
Arizona,September WNV neuroinvasive disease cases,2023-04-30,67,quantile,2023-09-30,0.95
Arizona,September WNV neuroinvasive disease cases,2023-04-30,76,quantile,2023-09-30,0.975
Arizona,September WNV neuroinvasive disease cases,2023-04-30,87,quantile,2023-09-30,0.99
Arizona,October WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-10-31,0.01
Arizona,October WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-10-31,0.025
Arizona,October WNV neuroinvasive disease cases,2023-04-30,0,quantile,2023-10-31,0.05
Arizona,October WNV neuroinvasive disease cases,2023-04-30,1,quantile,2023-10-31,0.1
Arizona,October WNV neuroinvasive disease cases,2023-04-30,3,quantile,2023-10-31,0.15
Arizona,October WNV neuroinvasive disease cases,2023-04-30,6,quantile,2023-10-31,0.2
Arizona,October WNV neuroinvasive disease cases,2023-04-30,8,quantile,2023-10-31,0.25
Arizona,October WNV neuroinvasive disease cases,2023-04-30,10,quantile,2023-10-31,0.3
Arizona,October WNV neuroinvasive disease cases,2023-04-30,12,quantile,2023-10-31,0.35
Arizona,October WNV neuroinvasive disease cases,2023-04-30,14,quantile,2023-10-31,0.4
Arizona,October WNV neuroinvasive disease cases,2023-04-30,16,quantile,2023-10-31,0.45
