target_end_date,value,location,quantile,target,type,forecast_date
2023-08-31,18.28477671,Alabama,0.99,August WNV neuroinvasive disease cases,quantile,2023-06-30
2023-09-30,0.444396321,Alabama,0.01,September WNV neuroinvasive disease cases,quantile,2023-06-30
2023-09-30,0.508498853,Alabama,0.025,September WNV neuroinvasive disease cases,quantile,2023-06-30
2023-09-30,0.594866721,Alabama,0.05,September WNV neuroinvasive disease cases,quantile,2023-06-30
2023-09-30,0.704397129,Alabama,0.1,September WNV neuroinvasive disease cases,quantile,2023-06-30
2023-09-30,0.85455661,Alabama,0.15,September WNV neuroinvasive disease cases,quantile,2023-06-30
2023-09-30,1.053031567,Alabama,0.2,September WNV neuroinvasive disease cases,quantile,2023-06-30
2023-09-30,1.301193863,Alabama,0.25,September WNV neuroinvasive disease cases,quantile,2023-06-30
2023-09-30,1.544443164,Alabama,0.3,September WNV neuroinvasive disease cases,quantile,2023-06-30
2023-09-30,1.740990995,Alabama,0.35,September WNV neuroinvasive disease cases,quantile,2023-06-30
2023-09-30,1.941063223,Alabama,0.4,September WNV neuroinvasive disease cases,quantile,2023-06-30
2023-09-30,2.149709273,Alabama,0.45,September WNV neuroinvasive disease cases,quantile,2023-06-30
2023-09-30,2.317480328,Alabama,0.5,September WNV neuroinvasive disease cases,quantile,2023-06-30
2023-09-30,2.4881476,Alabama,0.55,September WNV neuroinvasive disease cases,quantile,2023-06-30
2023-09-30,2.689880059,Alabama,0.6,September WNV neuroinvasive disease cases,quantile,2023-06-30
2023-09-30,2.892507507,Alabama,0.65,September WNV neuroinvasive disease cases,quantile,2023-06-30
2023-09-30,3.172840738,Alabama,0.7,September WNV neuroinvasive disease cases,quantile,2023-06-30
2023-09-30,3.555312531,Alabama,0.75,September WNV neuroinvasive disease cases,quantile,2023-06-30
2023-09-30,3.969855448,Alabama,0.8,September WNV neuroinvasive disease cases,quantile,2023-06-30
2023-09-30,5.515570264,Alabama,0.85,September WNV neuroinvasive disease cases,quantile,2023-06-30
2023-09-30,8.713876787,Alabama,0.9,September WNV neuroinvasive disease cases,quantile,2023-06-30
2023-09-30,12.52541662,Alabama,0.95,September WNV neuroinvasive disease cases,quantile,2023-06-30
2023-09-30,15.79175363,Alabama,0.975,September WNV neuroinvasive disease cases,quantile,2023-06-30
2023-09-30,18.78968475,Alabama,0.99,September WNV neuroinvasive disease cases,quantile,2023-06-30
2023-10-31,0.26965406,Alabama,0.01,October WNV neuroinvasive disease cases,quantile,2023-06-30
2023-10-31,0.340392958,Alabama,0.025,October WNV neuroinvasive disease cases,quantile,2023-06-30
2023-10-31,0.399753147,Alabama,0.05,October WNV neuroinvasive disease cases,quantile,2023-06-30
2023-10-31,0.54761907,Alabama,0.1,October WNV neuroinvasive disease cases,quantile,2023-06-30
2023-10-31,0.666917308,Alabama,0.15,October WNV neuroinvasive disease cases,quantile,2023-06-30
2023-10-31,0.764077233,Alabama,0.2,October WNV neuroinvasive disease cases,quantile,2023-06-30
2023-10-31,1.001481288,Alabama,0.25,October WNV neuroinvasive disease cases,quantile,2023-06-30
2023-10-31,1.164019658,Alabama,0.3,October WNV neuroinvasive disease cases,quantile,2023-06-30
2023-10-31,1.245114503,Alabama,0.35,October WNV neuroinvasive disease cases,quantile,2023-06-30
2023-10-31,1.372294517,Alabama,0.4,October WNV neuroinvasive disease cases,quantile,2023-06-30
2023-10-31,1.508353651,Alabama,0.45,October WNV neuroinvasive disease cases,quantile,2023-06-30
2023-10-31,1.64546331,Alabama,0.5,October WNV neuroinvasive disease cases,quantile,2023-06-30
2023-10-31,1.797697191,Alabama,0.55,October WNV neuroinvasive disease cases,quantile,2023-06-30
2023-10-31,1.993864659,Alabama,0.6,October WNV neuroinvasive disease cases,quantile,2023-06-30
2023-10-31,2.193305464,Alabama,0.65,October WNV neuroinvasive disease cases,quantile,2023-06-30
2023-10-31,2.50403,Alabama,0.7,October WNV neuroinvasive disease cases,quantile,2023-06-30
2023-10-31,2.856816105,Alabama,0.75,October WNV neuroinvasive disease cases,quantile,2023-06-30
2023-10-31,3.270951927,Alabama,0.8,October WNV neuroinvasive disease cases,quantile,2023-06-30
2023-10-31,4.122555316,Alabama,0.85,October WNV neuroinvasive disease cases,quantile,2023-06-30
2023-10-31,6.363541749,Alabama,0.9,October WNV neuroinvasive disease cases,quantile,2023-06-30
2023-10-31,9.540334352,Alabama,0.95,October WNV neuroinvasive disease cases,quantile,2023-06-30
2023-10-31,12.27068995,Alabama,0.975,October WNV neuroinvasive disease cases,quantile,2023-06-30
2023-10-31,15.9085364,Alabama,0.99,October WNV neuroinvasive disease cases,quantile,2023-06-30
2023-11-30,0.104458919,Alabama,0.01,November WNV neuroinvasive disease cases,quantile,2023-06-30
2023-11-30,0.128131036,Alabama,0.025,November WNV neuroinvasive disease cases,quantile,2023-06-30
2023-11-30,0.159159838,Alabama,0.05,November WNV neuroinvasive disease cases,quantile,2023-06-30
2023-11-30,0.216222843,Alabama,0.1,November WNV neuroinvasive disease cases,quantile,2023-06-30
2023-11-30,0.254947152,Alabama,0.15,November WNV neuroinvasive disease cases,quantile,2023-06-30
2023-11-30,0.32893582,Alabama,0.2,November WNV neuroinvasive disease cases,quantile,2023-06-30
2023-11-30,0.457971628,Alabama,0.25,November WNV neuroinvasive disease cases,quantile,2023-06-30
2023-11-30,0.528828879,Alabama,0.3,November WNV neuroinvasive disease cases,quantile,2023-06-30
2023-11-30,0.586954509,Alabama,0.35,November WNV neuroinvasive disease cases,quantile,2023-06-30
2023-11-30,0.631843696,Alabama,0.4,November WNV neuroinvasive disease cases,quantile,2023-06-30
2023-11-30,0.695975459,Alabama,0.45,November WNV neuroinvasive disease cases,quantile,2023-06-30
2023-11-30,0.769089731,Alabama,0.5,November WNV neuroinvasive disease cases,quantile,2023-06-30
2023-11-30,0.841260524,Alabama,0.55,November WNV neuroinvasive disease cases,quantile,2023-06-30
2023-11-30,0.918578768,Alabama,0.6,November WNV neuroinvasive disease cases,quantile,2023-06-30
2023-11-30,1.013575517,Alabama,0.65,November WNV neuroinvasive disease cases,quantile,2023-06-30
2023-11-30,1.129952884,Alabama,0.7,November WNV neuroinvasive disease cases,quantile,2023-06-30
2023-11-30,1.324833229,Alabama,0.75,November WNV neuroinvasive disease cases,quantile,2023-06-30
2023-11-30,1.481027341,Alabama,0.8,November WNV neuroinvasive disease cases,quantile,2023-06-30
2023-11-30,1.901429527,Alabama,0.85,November WNV neuroinvasive disease cases,quantile,2023-06-30
2023-11-30,3.001257283,Alabama,0.9,November WNV neuroinvasive disease cases,quantile,2023-06-30
2023-11-30,4.585536837,Alabama,0.95,November WNV neuroinvasive disease cases,quantile,2023-06-30
2023-11-30,6.062755288,Alabama,0.975,November WNV neuroinvasive disease cases,quantile,2023-06-30
2023-11-30,7.772772589,Alabama,0.99,November WNV neuroinvasive disease cases,quantile,2023-06-30
2023-12-31,0.055505223,Alabama,0.01,December WNV neuroinvasive disease cases,quantile,2023-06-30
2023-12-31,0.062183269,Alabama,0.025,December WNV neuroinvasive disease cases,quantile,2023-06-30
2023-12-31,0.070037564,Alabama,0.05,December WNV neuroinvasive disease cases,quantile,2023-06-30
2023-12-31,0.086807014,Alabama,0.1,December WNV neuroinvasive disease cases,quantile,2023-06-30
2023-12-31,0.106613284,Alabama,0.15,December WNV neuroinvasive disease cases,quantile,2023-06-30
2023-12-31,0.130190811,Alabama,0.2,December WNV neuroinvasive disease cases,quantile,2023-06-30
2023-12-31,0.161452352,Alabama,0.25,December WNV neuroinvasive disease cases,quantile,2023-06-30
2023-12-31,0.189071203,Alabama,0.3,December WNV neuroinvasive disease cases,quantile,2023-06-30
2023-12-31,0.21725817,Alabama,0.35,December WNV neuroinvasive disease cases,quantile,2023-06-30
2023-12-31,0.237390967,Alabama,0.4,December WNV neuroinvasive disease cases,quantile,2023-06-30
2023-12-31,0.257855349,Alabama,0.45,December WNV neuroinvasive disease cases,quantile,2023-06-30
2023-12-31,0.284353046,Alabama,0.5,December WNV neuroinvasive disease cases,quantile,2023-06-30
2023-12-31,0.307926537,Alabama,0.55,December WNV neuroinvasive disease cases,quantile,2023-06-30
2023-12-31,0.339725028,Alabama,0.6,December WNV neuroinvasive disease cases,quantile,2023-06-30
2023-12-31,0.373239855,Alabama,0.65,December WNV neuroinvasive disease cases,quantile,2023-06-30
2023-12-31,0.411961821,Alabama,0.7,December WNV neuroinvasive disease cases,quantile,2023-06-30
2023-12-31,0.470599098,Alabama,0.75,December WNV neuroinvasive disease cases,quantile,2023-06-30
2023-12-31,0.552563034,Alabama,0.8,December WNV neuroinvasive disease cases,quantile,2023-06-30
2023-12-31,0.716753688,Alabama,0.85,December WNV neuroinvasive disease cases,quantile,2023-06-30
2023-12-31,1.037649593,Alabama,0.9,December WNV neuroinvasive disease cases,quantile,2023-06-30
2023-12-31,1.712409236,Alabama,0.95,December WNV neuroinvasive disease cases,quantile,2023-06-30
2023-12-31,2.168661309,Alabama,0.975,December WNV neuroinvasive disease cases,quantile,2023-06-30
2023-12-31,2.679160977,Alabama,0.99,December WNV neuroinvasive disease cases,quantile,2023-06-30
2023-07-31,0.305949136,Arkansas,0.01,July WNV neuroinvasive disease cases,quantile,2023-06-30
2023-07-31,0.388428077,Arkansas,0.025,July WNV neuroinvasive disease cases,quantile,2023-06-30
2023-07-31,0.442825314,Arkansas,0.05,July WNV neuroinvasive disease cases,quantile,2023-06-30
2023-07-31,0.617584223,Arkansas,0.1,July WNV neuroinvasive disease cases,quantile,2023-06-30
2023-07-31,0.83527163,Arkansas,0.15,July WNV neuroinvasive disease cases,quantile,2023-06-30
2023-07-31,0.959605518,Arkansas,0.2,July WNV neuroinvasive disease cases,quantile,2023-06-30
2023-07-31,1.080685176,Arkansas,0.25,July WNV neuroinvasive disease cases,quantile,2023-06-30
2023-07-31,1.195444089,Arkansas,0.3,July WNV neuroinvasive disease cases,quantile,2023-06-30
2023-07-31,1.421031079,Arkansas,0.35,July WNV neuroinvasive disease cases,quantile,2023-06-30
2023-07-31,1.626945041,Arkansas,0.4,July WNV neuroinvasive disease cases,quantile,2023-06-30
2023-07-31,1.844125308,Arkansas,0.45,July WNV neuroinvasive disease cases,quantile,2023-06-30
2023-07-31,2.121513498,Arkansas,0.5,July WNV neuroinvasive disease cases,quantile,2023-06-30
2023-07-31,2.359362218,Arkansas,0.55,July WNV neuroinvasive disease cases,quantile,2023-06-30
2023-07-31,2.712273275,Arkansas,0.6,July WNV neuroinvasive disease cases,quantile,2023-06-30
2023-07-31,3.065119184,Arkansas,0.65,July WNV neuroinvasive disease cases,quantile,2023-06-30
2023-07-31,3.654800726,Arkansas,0.7,July WNV neuroinvasive disease cases,quantile,2023-06-30
2023-07-31,4.37560017,Arkansas,0.75,July WNV neuroinvasive disease cases,quantile,2023-06-30
2023-07-31,5.0711442,Arkansas,0.8,July WNV neuroinvasive disease cases,quantile,2023-06-30
2023-07-31,6.112608889,Arkansas,0.85,July WNV neuroinvasive disease cases,quantile,2023-06-30
2023-07-31,7.796243105,Arkansas,0.9,July WNV neuroinvasive disease cases,quantile,2023-06-30
2023-07-31,11.26339235,Arkansas,0.95,July WNV neuroinvasive disease cases,quantile,2023-06-30
2023-07-31,13.28084153,Arkansas,0.975,July WNV neuroinvasive disease cases,quantile,2023-06-30
2023-07-31,16.64338724,Arkansas,0.99,July WNV neuroinvasive disease cases,quantile,2023-06-30
2023-08-31,0.429234017,Arkansas,0.01,August WNV neuroinvasive disease cases,quantile,2023-06-30
2023-08-31,0.492740808,Arkansas,0.025,August WNV neuroinvasive disease cases,quantile,2023-06-30
2023-08-31,0.594644983,Arkansas,0.05,August WNV neuroinvasive disease cases,quantile,2023-06-30
2023-08-31,0.813257959,Arkansas,0.1,August WNV neuroinvasive disease cases,quantile,2023-06-30
2023-08-31,1.100934358,Arkansas,0.15,August WNV neuroinvasive disease cases,quantile,2023-06-30
2023-08-31,1.25593759,Arkansas,0.2,August WNV neuroinvasive disease cases,quantile,2023-06-30
2023-08-31,1.447800666,Arkansas,0.25,August WNV neuroinvasive disease cases,quantile,2023-06-30
2023-08-31,1.686937891,Arkansas,0.3,August WNV neuroinvasive disease cases,quantile,2023-06-30
2023-08-31,1.910251161,Arkansas,0.35,August WNV neuroinvasive disease cases,quantile,2023-06-30
2023-08-31,2.139677415,Arkansas,0.4,August WNV neuroinvasive disease cases,quantile,2023-06-30
2023-08-31,2.489547649,Arkansas,0.45,August WNV neuroinvasive disease cases,quantile,2023-06-30
2023-08-31,2.78214682,Arkansas,0.5,August WNV neuroinvasive disease cases,quantile,2023-06-30
2023-08-31,3.1653506,Arkansas,0.55,August WNV neuroinvasive disease cases,quantile,2023-06-30
2023-08-31,3.416647447,Arkansas,0.6,August WNV neuroinvasive disease cases,quantile,2023-06-30
2023-08-31,4.017254316,Arkansas,0.65,August WNV neuroinvasive disease cases,quantile,2023-06-30
2023-08-31,4.824244655,Arkansas,0.7,August WNV neuroinvasive disease cases,quantile,2023-06-30
2023-08-31,5.820354907,Arkansas,0.75,August WNV neuroinvasive disease cases,quantile,2023-06-30
2023-08-31,6.898103803,Arkansas,0.8,August WNV neuroinvasive disease cases,quantile,2023-06-30
2023-08-31,7.935519741,Arkansas,0.85,August WNV neuroinvasive disease cases,quantile,2023-06-30
2023-08-31,9.973285262,Arkansas,0.9,August WNV neuroinvasive disease cases,quantile,2023-06-30
2023-08-31,15.6810785,Arkansas,0.95,August WNV neuroinvasive disease cases,quantile,2023-06-30
2023-08-31,19.36604232,Arkansas,0.975,August WNV neuroinvasive disease cases,quantile,2023-06-30
2023-08-31,23.27033148,Arkansas,0.99,August WNV neuroinvasive disease cases,quantile,2023-06-30
2023-09-30,0.358074374,Arkansas,0.01,September WNV neuroinvasive disease cases,quantile,2023-06-30
2023-09-30,0.427453135,Arkansas,0.025,September WNV neuroinvasive disease cases,quantile,2023-06-30
2023-09-30,0.539113034,Arkansas,0.05,September WNV neuroinvasive disease cases,quantile,2023-06-30
2023-09-30,0.81290093,Arkansas,0.1,September WNV neuroinvasive disease cases,quantile,2023-06-30
2023-09-30,0.98321635,Arkansas,0.15,September WNV neuroinvasive disease cases,quantile,2023-06-30
2023-09-30,1.19988534,Arkansas,0.2,September WNV neuroinvasive disease cases,quantile,2023-06-30
2023-09-30,1.385044117,Arkansas,0.25,September WNV neuroinvasive disease cases,quantile,2023-06-30
2023-09-30,1.606736322,Arkansas,0.3,September WNV neuroinvasive disease cases,quantile,2023-06-30
2023-09-30,1.796329099,Arkansas,0.35,September WNV neuroinvasive disease cases,quantile,2023-06-30
2023-09-30,2.129747848,Arkansas,0.4,September WNV neuroinvasive disease cases,quantile,2023-06-30
2023-09-30,2.417854989,Arkansas,0.45,September WNV neuroinvasive disease cases,quantile,2023-06-30
2023-09-30,2.729709778,Arkansas,0.5,September WNV neuroinvasive disease cases,quantile,2023-06-30
2023-09-30,3.123645033,Arkansas,0.55,September WNV neuroinvasive disease cases,quantile,2023-06-30
2023-09-30,3.487053111,Arkansas,0.6,September WNV neuroinvasive disease cases,quantile,2023-06-30
2023-09-30,4.049165126,Arkansas,0.65,September WNV neuroinvasive disease cases,quantile,2023-06-30
2023-09-30,4.932173243,Arkansas,0.7,September WNV neuroinvasive disease cases,quantile,2023-06-30
2023-09-30,5.865198244,Arkansas,0.75,September WNV neuroinvasive disease cases,quantile,2023-06-30
2023-09-30,6.91425723,Arkansas,0.8,September WNV neuroinvasive disease cases,quantile,2023-06-30
2023-09-30,8.049571825,Arkansas,0.85,September WNV neuroinvasive disease cases,quantile,2023-06-30
2023-09-30,10.61705154,Arkansas,0.9,September WNV neuroinvasive disease cases,quantile,2023-06-30
2023-09-30,16.29044927,Arkansas,0.95,September WNV neuroinvasive disease cases,quantile,2023-06-30
2023-09-30,19.03584945,Arkansas,0.975,September WNV neuroinvasive disease cases,quantile,2023-06-30
2023-09-30,22.19233405,Arkansas,0.99,September WNV neuroinvasive disease cases,quantile,2023-06-30
2023-10-31,0.178333322,Arkansas,0.01,October WNV neuroinvasive disease cases,quantile,2023-06-30
2023-10-31,0.254792862,Arkansas,0.025,October WNV neuroinvasive disease cases,quantile,2023-06-30
2023-10-31,0.315826369,Arkansas,0.05,October WNV neuroinvasive disease cases,quantile,2023-06-30
2023-10-31,0.472212306,Arkansas,0.1,October WNV neuroinvasive disease cases,quantile,2023-06-30
2023-10-31,0.661236846,Arkansas,0.15,October WNV neuroinvasive disease cases,quantile,2023-06-30
2023-10-31,0.781941753,Arkansas,0.2,October WNV neuroinvasive disease cases,quantile,2023-06-30
2023-10-31,0.935815691,Arkansas,0.25,October WNV neuroinvasive disease cases,quantile,2023-06-30
2023-10-31,1.084291445,Arkansas,0.3,October WNV neuroinvasive disease cases,quantile,2023-06-30
2023-10-31,1.273862646,Arkansas,0.35,October WNV neuroinvasive disease cases,quantile,2023-06-30
2023-10-31,1.411559337,Arkansas,0.4,October WNV neuroinvasive disease cases,quantile,2023-06-30
2023-10-31,1.673108137,Arkansas,0.45,October WNV neuroinvasive disease cases,quantile,2023-06-30
2023-10-31,1.888178402,Arkansas,0.5,October WNV neuroinvasive disease cases,quantile,2023-06-30
2023-10-31,2.148689198,Arkansas,0.55,October WNV neuroinvasive disease cases,quantile,2023-06-30
2023-10-31,2.499058123,Arkansas,0.6,October WNV neuroinvasive disease cases,quantile,2023-06-30
2023-10-31,2.910191166,Arkansas,0.65,October WNV neuroinvasive disease cases,quantile,2023-06-30
2023-10-31,3.383076175,Arkansas,0.7,October WNV neuroinvasive disease cases,quantile,2023-06-30
2023-10-31,4.148776354,Arkansas,0.75,October WNV neuroinvasive disease cases,quantile,2023-06-30
2023-10-31,4.699763371,Arkansas,0.8,October WNV neuroinvasive disease cases,quantile,2023-06-30
2023-10-31,5.954195794,Arkansas,0.85,October WNV neuroinvasive disease cases,quantile,2023-06-30
2023-10-31,7.766436622,Arkansas,0.9,October WNV neuroinvasive disease cases,quantile,2023-06-30
2023-10-31,11.45273563,Arkansas,0.95,October WNV neuroinvasive disease cases,quantile,2023-06-30
2023-10-31,14.73397675,Arkansas,0.975,October WNV neuroinvasive disease cases,quantile,2023-06-30
2023-10-31,17.17614363,Arkansas,0.99,October WNV neuroinvasive disease cases,quantile,2023-06-30
2023-11-30,0.074836311,Arkansas,0.01,November WNV neuroinvasive disease cases,quantile,2023-06-30
2023-11-30,0.107305166,Arkansas,0.025,November WNV neuroinvasive disease cases,quantile,2023-06-30
2023-11-30,0.129776241,Arkansas,0.05,November WNV neuroinvasive disease cases,quantile,2023-06-30
2023-11-30,0.190904972,Arkansas,0.1,November WNV neuroinvasive disease cases,quantile,2023-06-30
2023-11-30,0.273389478,Arkansas,0.15,November WNV neuroinvasive disease cases,quantile,2023-06-30
2023-11-30,0.339847841,Arkansas,0.2,November WNV neuroinvasive disease cases,quantile,2023-06-30
2023-11-30,0.39252404,Arkansas,0.25,November WNV neuroinvasive disease cases,quantile,2023-06-30
2023-11-30,0.453717198,Arkansas,0.3,November WNV neuroinvasive disease cases,quantile,2023-06-30
2023-11-30,0.540867395,Arkansas,0.35,November WNV neuroinvasive disease cases,quantile,2023-06-30
2023-11-30,0.618998058,Arkansas,0.4,November WNV neuroinvasive disease cases,quantile,2023-06-30
2023-11-30,0.705134407,Arkansas,0.45,November WNV neuroinvasive disease cases,quantile,2023-06-30
2023-11-30,0.793294748,Arkansas,0.5,November WNV neuroinvasive disease cases,quantile,2023-06-30
2023-11-30,0.910331209,Arkansas,0.55,November WNV neuroinvasive disease cases,quantile,2023-06-30
2023-11-30,1.045919847,Arkansas,0.6,November WNV neuroinvasive disease cases,quantile,2023-06-30
2023-11-30,1.259221458,Arkansas,0.65,November WNV neuroinvasive disease cases,quantile,2023-06-30
2023-11-30,1.447051682,Arkansas,0.7,November WNV neuroinvasive disease cases,quantile,2023-06-30
2023-11-30,1.69953577,Arkansas,0.75,November WNV neuroinvasive disease cases,quantile,2023-06-30
2023-11-30,2.031464492,Arkansas,0.8,November WNV neuroinvasive disease cases,quantile,2023-06-30
2023-11-30,2.470960023,Arkansas,0.85,November WNV neuroinvasive disease cases,quantile,2023-06-30
2023-11-30,3.353292108,Arkansas,0.9,November WNV neuroinvasive disease cases,quantile,2023-06-30
2023-11-30,4.633204249,Arkansas,0.95,November WNV neuroinvasive disease cases,quantile,2023-06-30
2023-11-30,5.816623423,Arkansas,0.975,November WNV neuroinvasive disease cases,quantile,2023-06-30
2023-11-30,7.445414965,Arkansas,0.99,November WNV neuroinvasive disease cases,quantile,2023-06-30
2023-12-31,0.03864126,Arkansas,0.01,December WNV neuroinvasive disease cases,quantile,2023-06-30
2023-12-31,0.04342909,Arkansas,0.025,December WNV neuroinvasive disease cases,quantile,2023-06-30
2023-12-31,0.053741225,Arkansas,0.05,December WNV neuroinvasive disease cases,quantile,2023-06-30
2023-12-31,0.081537852,Arkansas,0.1,December WNV neuroinvasive disease cases,quantile,2023-06-30
2023-12-31,0.107577076,Arkansas,0.15,December WNV neuroinvasive disease cases,quantile,2023-06-30
2023-12-31,0.135292364,Arkansas,0.2,December WNV neuroinvasive disease cases,quantile,2023-06-30
2023-12-31,0.159730049,Arkansas,0.25,December WNV neuroinvasive disease cases,quantile,2023-06-30
2023-12-31,0.187153861,Arkansas,0.3,December WNV neuroinvasive disease cases,quantile,2023-06-30
2023-12-31,0.211537772,Arkansas,0.35,December WNV neuroinvasive disease cases,quantile,2023-06-30
2023-12-31,0.240369424,Arkansas,0.4,December WNV neuroinvasive disease cases,quantile,2023-06-30
2023-12-31,0.274526649,Arkansas,0.45,December WNV neuroinvasive disease cases,quantile,2023-06-30
2023-12-31,0.31971571,Arkansas,0.5,December WNV neuroinvasive disease cases,quantile,2023-06-30
2023-12-31,0.37169896,Arkansas,0.55,December WNV neuroinvasive disease cases,quantile,2023-06-30
2023-12-31,0.429429465,Arkansas,0.6,December WNV neuroinvasive disease cases,quantile,2023-06-30
2023-12-31,0.498605002,Arkansas,0.65,December WNV neuroinvasive disease cases,quantile,2023-06-30
2023-12-31,0.561703144,Arkansas,0.7,December WNV neuroinvasive disease cases,quantile,2023-06-30
2023-12-31,0.675481894,Arkansas,0.75,December WNV neuroinvasive disease cases,quantile,2023-06-30
2023-12-31,0.816260675,Arkansas,0.8,December WNV neuroinvasive disease cases,quantile,2023-06-30
2023-12-31,1.011019929,Arkansas,0.85,December WNV neuroinvasive disease cases,quantile,2023-06-30
2023-12-31,1.284305905,Arkansas,0.9,December WNV neuroinvasive disease cases,quantile,2023-06-30
2023-12-31,1.852581391,Arkansas,0.95,December WNV neuroinvasive disease cases,quantile,2023-06-30
2023-12-31,2.354565698,Arkansas,0.975,December WNV neuroinvasive disease cases,quantile,2023-06-30
2023-12-31,2.863417382,Arkansas,0.99,December WNV neuroinvasive disease cases,quantile,2023-06-30
2023-07-31,0.341667671,Arizona,0.01,July WNV neuroinvasive disease cases,quantile,2023-06-30
2023-07-31,0.425763024,Arizona,0.025,July WNV neuroinvasive disease cases,quantile,2023-06-30
2023-07-31,0.640362247,Arizona,0.05,July WNV neuroinvasive disease cases,quantile,2023-06-30
2023-07-31,0.860917047,Arizona,0.1,July WNV neuroinvasive disease cases,quantile,2023-06-30
2023-07-31,1.181798015,Arizona,0.15,July WNV neuroinvasive disease cases,quantile,2023-06-30
