,location,forecast_date,target_end_date,target,type,quantile,value
33,Alabama,2023-04-30,2023-06-30,June WNV neuroinvasive disease cases,quantile,0.45,0.8264890748269748
34,Alabama,2023-04-30,2023-06-30,June WNV neuroinvasive disease cases,quantile,0.5,0.8963923463357467
35,Alabama,2023-04-30,2023-06-30,June WNV neuroinvasive disease cases,quantile,0.55,0.9347191950682656
36,Alabama,2023-04-30,2023-06-30,June WNV neuroinvasive disease cases,quantile,0.6,1.0014141626329296
37,Alabama,2023-04-30,2023-06-30,June WNV neuroinvasive disease cases,quantile,0.65,1.0589155336384566
38,Alabama,2023-04-30,2023-06-30,June WNV neuroinvasive disease cases,quantile,0.7,1.1092071712610645
39,Alabama,2023-04-30,2023-06-30,June WNV neuroinvasive disease cases,quantile,0.75,1.1259253107970235
40,Alabama,2023-04-30,2023-06-30,June WNV neuroinvasive disease cases,quantile,0.8,1.2030317859648754
41,Alabama,2023-04-30,2023-06-30,June WNV neuroinvasive disease cases,quantile,0.85,1.3232211597035626
42,Alabama,2023-04-30,2023-06-30,June WNV neuroinvasive disease cases,quantile,0.9,1.4751379030773266
43,Alabama,2023-04-30,2023-06-30,June WNV neuroinvasive disease cases,quantile,0.95,1.821750774266085
44,Alabama,2023-04-30,2023-06-30,June WNV neuroinvasive disease cases,quantile,0.975,2.0699922720857304
45,Alabama,2023-04-30,2023-06-30,June WNV neuroinvasive disease cases,quantile,0.99,2.1635806039192658
46,Alabama,2023-04-30,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.01,0
47,Alabama,2023-04-30,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.025,0.3360814721874446
48,Alabama,2023-04-30,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.05,0.3892967634550915
49,Alabama,2023-04-30,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.1,0.6148652368272994
50,Alabama,2023-04-30,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.15,0.7495235407130842
51,Alabama,2023-04-30,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.2,0.8207644210624016
52,Alabama,2023-04-30,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.25,0.8410676348767382
53,Alabama,2023-04-30,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.3,0.8703885841726167
54,Alabama,2023-04-30,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.35,0.896260129203822
55,Alabama,2023-04-30,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.4,0.9318143912894348
56,Alabama,2023-04-30,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.45,0.9481208115652208
57,Alabama,2023-04-30,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.5,0.9623207010486023
58,Alabama,2023-04-30,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.55,0.983162619406134
59,Alabama,2023-04-30,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.6,1.0056447313233523
60,Alabama,2023-04-30,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.65,1.095773614729158
61,Alabama,2023-04-30,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.7,1.1493629811343156
62,Alabama,2023-04-30,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.75,1.209441762852132
63,Alabama,2023-04-30,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.8,1.2439358892568635
64,Alabama,2023-04-30,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.85,1.3063867568123233
65,Alabama,2023-04-30,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.9,1.341216784053959
66,Alabama,2023-04-30,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.95,1.4994084122328186
67,Alabama,2023-04-30,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.975,2.191820507792484
68,Alabama,2023-04-30,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.99,2.514098397295544
69,Alabama,2023-04-30,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.01,0.3300234080823518
70,Alabama,2023-04-30,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.025,0.3771534214802282
71,Alabama,2023-04-30,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.05,0.4402637307885913
72,Alabama,2023-04-30,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.1,0.5930177606600232
73,Alabama,2023-04-30,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.15,0.7382304378296354
74,Alabama,2023-04-30,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.2,0.8114686331390262
75,Alabama,2023-04-30,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.25,0.8453998691468764
76,Alabama,2023-04-30,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.3,0.8783686060657178
77,Alabama,2023-04-30,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.35,0.8969224412364969
78,Alabama,2023-04-30,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.4,0.9215916425428928
79,Alabama,2023-04-30,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.45,0.9476324431033608
80,Alabama,2023-04-30,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.5,1.0451281329724642
81,Alabama,2023-04-30,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.55,1.0689284960481638
82,Alabama,2023-04-30,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.6,1.0952237586865707
83,Alabama,2023-04-30,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.65,1.1417507689936208
84,Alabama,2023-04-30,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.7,1.1843374984697392
85,Alabama,2023-04-30,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.75,1.2300602691861515
86,Alabama,2023-04-30,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.8,1.2616014943363705
87,Alabama,2023-04-30,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.85,1.3388282402376002
88,Alabama,2023-04-30,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.9,1.5812856525566987
89,Alabama,2023-04-30,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.95,1.9424312832077133
90,Alabama,2023-04-30,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.975,2.026836463897905
91,Alabama,2023-04-30,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.99,2.2489329358830186
92,Alabama,2023-04-30,2023-09-30,September WNV neuroinvasive disease cases,quantile,0.01,0
93,Alabama,2023-04-30,2023-09-30,September WNV neuroinvasive disease cases,quantile,0.025,0.0671284029450419
94,Alabama,2023-04-30,2023-09-30,September WNV neuroinvasive disease cases,quantile,0.05,0.2930333631469387
95,Alabama,2023-04-30,2023-09-30,September WNV neuroinvasive disease cases,quantile,0.1,0.5042795311499803
96,Alabama,2023-04-30,2023-09-30,September WNV neuroinvasive disease cases,quantile,0.15,0.6368037594150958
97,Alabama,2023-04-30,2023-09-30,September WNV neuroinvasive disease cases,quantile,0.2,0.7070740694996143
98,Alabama,2023-04-30,2023-09-30,September WNV neuroinvasive disease cases,quantile,0.25,0.7331607182913853
99,Alabama,2023-04-30,2023-09-30,September WNV neuroinvasive disease cases,quantile,0.3,0.7694388056065474
100,Alabama,2023-04-30,2023-09-30,September WNV neuroinvasive disease cases,quantile,0.35,0.7926280220400214
101,Alabama,2023-04-30,2023-09-30,September WNV neuroinvasive disease cases,quantile,0.4,0.8084923898487825
102,Alabama,2023-04-30,2023-09-30,September WNV neuroinvasive disease cases,quantile,0.45,0.8771233428288341
103,Alabama,2023-04-30,2023-09-30,September WNV neuroinvasive disease cases,quantile,0.5,0.9194672864196138
104,Alabama,2023-04-30,2023-09-30,September WNV neuroinvasive disease cases,quantile,0.55,0.9357067790816324
105,Alabama,2023-04-30,2023-09-30,September WNV neuroinvasive disease cases,quantile,0.6,0.9434782092386496
106,Alabama,2023-04-30,2023-09-30,September WNV neuroinvasive disease cases,quantile,0.65,0.9531636501787948
107,Alabama,2023-04-30,2023-09-30,September WNV neuroinvasive disease cases,quantile,0.7,1.0210891163690268
108,Alabama,2023-04-30,2023-09-30,September WNV neuroinvasive disease cases,quantile,0.75,1.072157041008581
109,Alabama,2023-04-30,2023-09-30,September WNV neuroinvasive disease cases,quantile,0.8,1.1233482746273882
110,Alabama,2023-04-30,2023-09-30,September WNV neuroinvasive disease cases,quantile,0.85,1.1396297336489938
111,Alabama,2023-04-30,2023-09-30,September WNV neuroinvasive disease cases,quantile,0.9,1.2610520939798004
112,Alabama,2023-04-30,2023-09-30,September WNV neuroinvasive disease cases,quantile,0.95,1.9649837188005748
113,Alabama,2023-04-30,2023-09-30,September WNV neuroinvasive disease cases,quantile,0.975,2.1190881846694603
114,Alabama,2023-04-30,2023-09-30,September WNV neuroinvasive disease cases,quantile,0.99,2.450258046458815
115,Alabama,2023-04-30,2023-10-31,October WNV neuroinvasive disease cases,quantile,0.01,0
116,Alabama,2023-04-30,2023-10-31,October WNV neuroinvasive disease cases,quantile,0.025,0
117,Alabama,2023-04-30,2023-10-31,October WNV neuroinvasive disease cases,quantile,0.05,0
118,Alabama,2023-04-30,2023-10-31,October WNV neuroinvasive disease cases,quantile,0.1,0
119,Alabama,2023-04-30,2023-10-31,October WNV neuroinvasive disease cases,quantile,0.15,0
120,Alabama,2023-04-30,2023-10-31,October WNV neuroinvasive disease cases,quantile,0.2,0
121,Alabama,2023-04-30,2023-10-31,October WNV neuroinvasive disease cases,quantile,0.25,0
122,Alabama,2023-04-30,2023-10-31,October WNV neuroinvasive disease cases,quantile,0.3,0.0124688241444554
123,Alabama,2023-04-30,2023-10-31,October WNV neuroinvasive disease cases,quantile,0.35,0.0490484662207825
124,Alabama,2023-04-30,2023-10-31,October WNV neuroinvasive disease cases,quantile,0.4,0.0667428833312023
125,Alabama,2023-04-30,2023-10-31,October WNV neuroinvasive disease cases,quantile,0.45,0.1053533335520374
126,Alabama,2023-04-30,2023-10-31,October WNV neuroinvasive disease cases,quantile,0.5,0.11228579204164
127,Alabama,2023-04-30,2023-10-31,October WNV neuroinvasive disease cases,quantile,0.55,0.1214283182948469
128,Alabama,2023-04-30,2023-10-31,October WNV neuroinvasive disease cases,quantile,0.6,0.151987057681336
129,Alabama,2023-04-30,2023-10-31,October WNV neuroinvasive disease cases,quantile,0.65,0.1887047958593131
130,Alabama,2023-04-30,2023-10-31,October WNV neuroinvasive disease cases,quantile,0.7,0.2251215224721208
131,Alabama,2023-04-30,2023-10-31,October WNV neuroinvasive disease cases,quantile,0.75,0.2845104901340415
132,Alabama,2023-04-30,2023-10-31,October WNV neuroinvasive disease cases,quantile,0.8,0.3796170165128324
133,Alabama,2023-04-30,2023-10-31,October WNV neuroinvasive disease cases,quantile,0.85,0.4602394932134652
134,Alabama,2023-04-30,2023-10-31,October WNV neuroinvasive disease cases,quantile,0.9,0.5353380561881198
135,Alabama,2023-04-30,2023-10-31,October WNV neuroinvasive disease cases,quantile,0.95,0.8849466291360218
136,Alabama,2023-04-30,2023-10-31,October WNV neuroinvasive disease cases,quantile,0.975,0.9382073823227356
137,Alabama,2023-04-30,2023-10-31,October WNV neuroinvasive disease cases,quantile,0.99,1.1345058402870063
138,Alabama,2023-04-30,2023-11-30,November WNV neuroinvasive disease cases,quantile,0.01,0
139,Alabama,2023-04-30,2023-11-30,November WNV neuroinvasive disease cases,quantile,0.025,0
140,Alabama,2023-04-30,2023-11-30,November WNV neuroinvasive disease cases,quantile,0.05,0
141,Alabama,2023-04-30,2023-11-30,November WNV neuroinvasive disease cases,quantile,0.1,0
142,Alabama,2023-04-30,2023-11-30,November WNV neuroinvasive disease cases,quantile,0.15,0
143,Alabama,2023-04-30,2023-11-30,November WNV neuroinvasive disease cases,quantile,0.2,0
144,Alabama,2023-04-30,2023-11-30,November WNV neuroinvasive disease cases,quantile,0.25,0
145,Alabama,2023-04-30,2023-11-30,November WNV neuroinvasive disease cases,quantile,0.3,0
146,Alabama,2023-04-30,2023-11-30,November WNV neuroinvasive disease cases,quantile,0.35,0
147,Alabama,2023-04-30,2023-11-30,November WNV neuroinvasive disease cases,quantile,0.4,0
148,Alabama,2023-04-30,2023-11-30,November WNV neuroinvasive disease cases,quantile,0.45,0.0003003037198825
149,Alabama,2023-04-30,2023-11-30,November WNV neuroinvasive disease cases,quantile,0.5,0.009406977595417
150,Alabama,2023-04-30,2023-11-30,November WNV neuroinvasive disease cases,quantile,0.55,0.0178715787584129
151,Alabama,2023-04-30,2023-11-30,November WNV neuroinvasive disease cases,quantile,0.6,0.0229271743854449
152,Alabama,2023-04-30,2023-11-30,November WNV neuroinvasive disease cases,quantile,0.65,0.0331344910573025
153,Alabama,2023-04-30,2023-11-30,November WNV neuroinvasive disease cases,quantile,0.7,0.0718941787205856
154,Alabama,2023-04-30,2023-11-30,November WNV neuroinvasive disease cases,quantile,0.75,0.1281934759667787
155,Alabama,2023-04-30,2023-11-30,November WNV neuroinvasive disease cases,quantile,0.8,0.1722086839135058
156,Alabama,2023-04-30,2023-11-30,November WNV neuroinvasive disease cases,quantile,0.85,0.1898978597712347
157,Alabama,2023-04-30,2023-11-30,November WNV neuroinvasive disease cases,quantile,0.9,0.5562886216924671
158,Alabama,2023-04-30,2023-11-30,November WNV neuroinvasive disease cases,quantile,0.95,0.8186805979341456
159,Alabama,2023-04-30,2023-11-30,November WNV neuroinvasive disease cases,quantile,0.975,1.0752081606007484
160,Alabama,2023-04-30,2023-11-30,November WNV neuroinvasive disease cases,quantile,0.99,1.2201624166486176
161,Alabama,2023-04-30,2023-12-31,December WNV neuroinvasive disease cases,quantile,0.01,0
162,Alabama,2023-04-30,2023-12-31,December WNV neuroinvasive disease cases,quantile,0.025,0
163,Alabama,2023-04-30,2023-12-31,December WNV neuroinvasive disease cases,quantile,0.05,0
164,Alabama,2023-04-30,2023-12-31,December WNV neuroinvasive disease cases,quantile,0.1,0
165,Alabama,2023-04-30,2023-12-31,December WNV neuroinvasive disease cases,quantile,0.15,0
166,Alabama,2023-04-30,2023-12-31,December WNV neuroinvasive disease cases,quantile,0.2,0
167,Alabama,2023-04-30,2023-12-31,December WNV neuroinvasive disease cases,quantile,0.25,0
168,Alabama,2023-04-30,2023-12-31,December WNV neuroinvasive disease cases,quantile,0.3,0
169,Alabama,2023-04-30,2023-12-31,December WNV neuroinvasive disease cases,quantile,0.35,0
170,Alabama,2023-04-30,2023-12-31,December WNV neuroinvasive disease cases,quantile,0.4,0
171,Alabama,2023-04-30,2023-12-31,December WNV neuroinvasive disease cases,quantile,0.45,0.0111852691138056
172,Alabama,2023-04-30,2023-12-31,December WNV neuroinvasive disease cases,quantile,0.5,0.0235834440569539
173,Alabama,2023-04-30,2023-12-31,December WNV neuroinvasive disease cases,quantile,0.55,0.0531197950946973
174,Alabama,2023-04-30,2023-12-31,December WNV neuroinvasive disease cases,quantile,0.6,0.0705515682565293
175,Alabama,2023-04-30,2023-12-31,December WNV neuroinvasive disease cases,quantile,0.65,0.0876786548692028
176,Alabama,2023-04-30,2023-12-31,December WNV neuroinvasive disease cases,quantile,0.7,0.1262530619117255
177,Alabama,2023-04-30,2023-12-31,December WNV neuroinvasive disease cases,quantile,0.75,0.1505716674877992
178,Alabama,2023-04-30,2023-12-31,December WNV neuroinvasive disease cases,quantile,0.8,0.1825545275336494
179,Alabama,2023-04-30,2023-12-31,December WNV neuroinvasive disease cases,quantile,0.85,0.2576077933064115
180,Alabama,2023-04-30,2023-12-31,December WNV neuroinvasive disease cases,quantile,0.9,0.4856833380961497
181,Alabama,2023-04-30,2023-12-31,December WNV neuroinvasive disease cases,quantile,0.95,1.049541508342681
182,Alabama,2023-04-30,2023-12-31,December WNV neuroinvasive disease cases,quantile,0.975,1.2278620541914114
183,Alabama,2023-04-30,2023-12-31,December WNV neuroinvasive disease cases,quantile,0.99,1.388847832604161
184,Arkansas,2023-04-30,2023-05-31,May WNV neuroinvasive disease cases,quantile,0.01,0
185,Arkansas,2023-04-30,2023-05-31,May WNV neuroinvasive disease cases,quantile,0.025,0
186,Arkansas,2023-04-30,2023-05-31,May WNV neuroinvasive disease cases,quantile,0.05,0
187,Arkansas,2023-04-30,2023-05-31,May WNV neuroinvasive disease cases,quantile,0.1,0
188,Arkansas,2023-04-30,2023-05-31,May WNV neuroinvasive disease cases,quantile,0.15,0
189,Arkansas,2023-04-30,2023-05-31,May WNV neuroinvasive disease cases,quantile,0.2,0
190,Arkansas,2023-04-30,2023-05-31,May WNV neuroinvasive disease cases,quantile,0.25,0
191,Arkansas,2023-04-30,2023-05-31,May WNV neuroinvasive disease cases,quantile,0.3,0
192,Arkansas,2023-04-30,2023-05-31,May WNV neuroinvasive disease cases,quantile,0.35,0
193,Arkansas,2023-04-30,2023-05-31,May WNV neuroinvasive disease cases,quantile,0.4,0
194,Arkansas,2023-04-30,2023-05-31,May WNV neuroinvasive disease cases,quantile,0.45,0
195,Arkansas,2023-04-30,2023-05-31,May WNV neuroinvasive disease cases,quantile,0.5,0
196,Arkansas,2023-04-30,2023-05-31,May WNV neuroinvasive disease cases,quantile,0.55,0
197,Arkansas,2023-04-30,2023-05-31,May WNV neuroinvasive disease cases,quantile,0.6,0
198,Arkansas,2023-04-30,2023-05-31,May WNV neuroinvasive disease cases,quantile,0.65,0
199,Arkansas,2023-04-30,2023-05-31,May WNV neuroinvasive disease cases,quantile,0.7,0.001564561915006
200,Arkansas,2023-04-30,2023-05-31,May WNV neuroinvasive disease cases,quantile,0.75,0.0443981269305919
201,Arkansas,2023-04-30,2023-05-31,May WNV neuroinvasive disease cases,quantile,0.8,0.0677495552508329
202,Arkansas,2023-04-30,2023-05-31,May WNV neuroinvasive disease cases,quantile,0.85,0.1204636257296545
203,Arkansas,2023-04-30,2023-05-31,May WNV neuroinvasive disease cases,quantile,0.9,0.2344118625667801
204,Arkansas,2023-04-30,2023-05-31,May WNV neuroinvasive disease cases,quantile,0.95,0.2837934814502086
205,Arkansas,2023-04-30,2023-05-31,May WNV neuroinvasive disease cases,quantile,0.975,0.3376973377712783
206,Arkansas,2023-04-30,2023-05-31,May WNV neuroinvasive disease cases,quantile,0.99,0.3778993724000711
207,Arkansas,2023-04-30,2023-06-30,June WNV neuroinvasive disease cases,quantile,0.01,0
208,Arkansas,2023-04-30,2023-06-30,June WNV neuroinvasive disease cases,quantile,0.025,0
209,Arkansas,2023-04-30,2023-06-30,June WNV neuroinvasive disease cases,quantile,0.05,0
210,Arkansas,2023-04-30,2023-06-30,June WNV neuroinvasive disease cases,quantile,0.1,0
211,Arkansas,2023-04-30,2023-06-30,June WNV neuroinvasive disease cases,quantile,0.15,0
212,Arkansas,2023-04-30,2023-06-30,June WNV neuroinvasive disease cases,quantile,0.2,0
213,Arkansas,2023-04-30,2023-06-30,June WNV neuroinvasive disease cases,quantile,0.25,0
214,Arkansas,2023-04-30,2023-06-30,June WNV neuroinvasive disease cases,quantile,0.3,0
215,Arkansas,2023-04-30,2023-06-30,June WNV neuroinvasive disease cases,quantile,0.35,0
216,Arkansas,2023-04-30,2023-06-30,June WNV neuroinvasive disease cases,quantile,0.4,0
217,Arkansas,2023-04-30,2023-06-30,June WNV neuroinvasive disease cases,quantile,0.45,0
218,Arkansas,2023-04-30,2023-06-30,June WNV neuroinvasive disease cases,quantile,0.5,0
219,Arkansas,2023-04-30,2023-06-30,June WNV neuroinvasive disease cases,quantile,0.55,0
220,Arkansas,2023-04-30,2023-06-30,June WNV neuroinvasive disease cases,quantile,0.6,0
221,Arkansas,2023-04-30,2023-06-30,June WNV neuroinvasive disease cases,quantile,0.65,0.000668575539448
222,Arkansas,2023-04-30,2023-06-30,June WNV neuroinvasive disease cases,quantile,0.7,0.0196762317742968
223,Arkansas,2023-04-30,2023-06-30,June WNV neuroinvasive disease cases,quantile,0.75,0.0485544081266534
224,Arkansas,2023-04-30,2023-06-30,June WNV neuroinvasive disease cases,quantile,0.8,0.0865322798192285
225,Arkansas,2023-04-30,2023-06-30,June WNV neuroinvasive disease cases,quantile,0.85,0.1428311007426796
226,Arkansas,2023-04-30,2023-06-30,June WNV neuroinvasive disease cases,quantile,0.9,0.2133593865628473
227,Arkansas,2023-04-30,2023-06-30,June WNV neuroinvasive disease cases,quantile,0.95,0.2907960658555422
228,Arkansas,2023-04-30,2023-06-30,June WNV neuroinvasive disease cases,quantile,0.975,0.3064927506598682
229,Arkansas,2023-04-30,2023-06-30,June WNV neuroinvasive disease cases,quantile,0.99,0.4215446260898989
230,Arkansas,2023-04-30,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.01,0
231,Arkansas,2023-04-30,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.025,0
232,Arkansas,2023-04-30,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.05,0
233,Arkansas,2023-04-30,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.1,0
234,Arkansas,2023-04-30,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.15,0
235,Arkansas,2023-04-30,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.2,0
236,Arkansas,2023-04-30,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.25,0
237,Arkansas,2023-04-30,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.3,0
238,Arkansas,2023-04-30,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.35,0
239,Arkansas,2023-04-30,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.4,0
240,Arkansas,2023-04-30,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.45,0
241,Arkansas,2023-04-30,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.5,0
242,Arkansas,2023-04-30,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.55,0
243,Arkansas,2023-04-30,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.6,0
244,Arkansas,2023-04-30,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.65,0
245,Arkansas,2023-04-30,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.7,0
246,Arkansas,2023-04-30,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.75,0.0309150585596884
247,Arkansas,2023-04-30,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.8,0.0435186338742928
248,Arkansas,2023-04-30,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.85,0.0549924338243576
249,Arkansas,2023-04-30,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.9,0.0866864539118108
250,Arkansas,2023-04-30,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.95,0.1802650159442006
251,Arkansas,2023-04-30,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.975,0.2525087955949477
252,Arkansas,2023-04-30,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.99,0.4061298591035675
253,Arkansas,2023-04-30,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.01,0
254,Arkansas,2023-04-30,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.025,0.1544500703222442
255,Arkansas,2023-04-30,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.05,0.3091415491687322
256,Arkansas,2023-04-30,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.1,0.8543573905534003
257,Arkansas,2023-04-30,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.15,1.0942838223779965
258,Arkansas,2023-04-30,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.2,1.5267487401363191
259,Arkansas,2023-04-30,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.25,1.5724694979019556
260,Arkansas,2023-04-30,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.3,1.6137857527093311
261,Arkansas,2023-04-30,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.35,1.6395762762048205
262,Arkansas,2023-04-30,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.4,1.68953554907169
263,Arkansas,2023-04-30,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.45,1.755261418340408
264,Arkansas,2023-04-30,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.5,1.7753740009792156
265,Arkansas,2023-04-30,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.55,1.8037549410100628
266,Arkansas,2023-04-30,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.6,1.879884928709265
